순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
33379,장현2중사거리,12647.785,3722.328,181970.14291,430335.93649,224001089,59033
33382,장현2중사거리,12647.831,3722.332,182037.7101,430341.88357,224001090,59034
33383,정왕제2공영주차장,12644.953,3720.469,177780.66733,426907.30319,224001091,59035
33385,장곡교차로,12646.474,3722.959,180038.31746,431506.31889,224001092,59036
33386,은계아란트리,12648.237,3725.926,182651.30328,436988.47723,224001093,59037
33389,은계아란트리,12648.222,3725.931,182630.29172,436998.15065,224001094,59038
33390,은계일반상업지구,12648.064,3726.224,182397.08187,437540.81986,224001095,59039
33392,은계일반상업지구,12648.081,3726.244,182422.14305,437577.27373,224001096,59040
33394,은계자이.호반써밋,12648.065,3726.157,182398.28723,437417.72394,224001097,59041
36920,은계자이.호반써밋,12648.079,3726.157,182418.8787,437417.95344,224001098,59042
36923,시흥센트럴돔그랑트리캐슬,12648.118,3726.702,182479.87837,438424.25957,224001099,59043
36924,시흥센트럴돔그랑트리캐슬,12648.085,3726.738,182431.38212,438491.86672,224001100,59044
36925,방산교,12645.755,3724.957,178985.9978,435205.89406,224001101,59101
497,장현12단지,12647.652,3722.807,181776.28673,431222.27633,224001102,59102
7954,장현12단지,12647.645,3722.805,181766.04129,431218.75038,224001103,59103
29671,한여울초등학교,12648.21,3721.927,182595.89385,429592.21404,224001104,59104
29683,시흥장현금강펜테리움,12648.202,3722.079,182584.95795,429872.87338,224001105,59105
29685,LH4단지.제일풍경채센텀,12648.236,3722.222,182635.9057,430137.46775,224001106,59106
29686,시흥시청역트리플포레,12648.324,3722.413,182766.81838,430490.9682,224001107,59107
30324,시흥시청역트리플포레,12648.322,3722.427,182763.6486,430516.60293,224001108,59108
30325,LH4단지.제일풍경채센텀,12648.217,3722.195,182607.13948,430088.00848,224001109,59109
30329,시흥장현금강펜테리움,12648.184,3722.075,182558.27837,429866.63083,224001110,59110
30330,한여울초등학교,12648.169,3721.922,182535.77412,429583.83625,224001111,59111
27760,장현리슈빌.제일풍경채에듀,12647.753,3722.211,181922.54826,430118.64123,224001112,59112
32918,매화지하차도,12649.211,3724.728,184084.26129,434770.8186,224001115,59115
32914,매화지하차도,12649.237,3724.727,184122.48308,434767.79347,224001116,59116
